year,level_1,level_2,value
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",3
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"HEALTH",4.9
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"TRANSPORT",10
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"COMMUNICATION",4.6
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"RECREATION AND CULTURE",5.6
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"EDUCATIONAL SERVICES",4.1
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"FOOD SERVING SERVICES",15.5
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"ACCOMMODATION SERVICES",0.2
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"MISCELLANEOUS GOODS AND SERVICES",8.8
2013,Highest Qualification Attained of Main Income Earner - Lower Secondary,"NON-ASSIGNABLE EXPENDITURE",0.6
2013,Highest Qualification Attained of Main Income Earner - Secondary,"TOTAL",100
2013,Highest Qualification Attained of Main Income Earner - Secondary,"FOOD AND NON-ALCOHOLIC BEVERAGES",8.1
2013,Highest Qualification Attained of Main Income Earner - Secondary,"ALCOHOLIC BEVERAGES AND TOBACCO",1.6
2013,Highest Qualification Attained of Main Income Earner - Secondary,"CLOTHING AND FOOTWEAR",2.5
2013,Highest Qualification Attained of Main Income Earner - Secondary,"HOUSING AND UTILITIES",26
2013,Highest Qualification Attained of Main Income Earner - Secondary,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",3.8
2013,Highest Qualification Attained of Main Income Earner - Secondary,"HEALTH",5.1
2013,Highest Qualification Attained of Main Income Earner - Secondary,"TRANSPORT",13.4
2013,Highest Qualification Attained of Main Income Earner - Secondary,"COMMUNICATION",4.6
2013,Highest Qualification Attained of Main Income Earner - Secondary,"RECREATION AND CULTURE",5.7
2013,Highest Qualification Attained of Main Income Earner - Secondary,"EDUCATIONAL SERVICES",4.8
2013,Highest Qualification Attained of Main Income Earner - Secondary,"FOOD SERVING SERVICES",14.6
2013,Highest Qualification Attained of Main Income Earner - Secondary,"ACCOMMODATION SERVICES",0.4
2013,Highest Qualification Attained of Main Income Earner - Secondary,"MISCELLANEOUS GOODS AND SERVICES",8.9
2013,Highest Qualification Attained of Main Income Earner - Secondary,"NON-ASSIGNABLE EXPENDITURE",0.5
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"TOTAL",100
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"FOOD AND NON-ALCOHOLIC BEVERAGES",8.2
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"ALCOHOLIC BEVERAGES AND TOBACCO",1.3
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"CLOTHING AND FOOTWEAR",3
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"HOUSING AND UTILITIES",26.2
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",4.3
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"HEALTH",4.7
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"TRANSPORT",13.3
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"COMMUNICATION",4.7
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"RECREATION AND CULTURE",6.1
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"EDUCATIONAL SERVICES",4.3
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"FOOD SERVING SERVICES",13.9
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"ACCOMMODATION SERVICES",0.5
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"MISCELLANEOUS GOODS AND SERVICES",9.1
2013,Highest Qualification Attained of Main Income Earner - Post Secondary (Non-Tertiary),"NON-ASSIGNABLE EXPENDITURE",0.6
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"TOTAL",100
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"FOOD AND NON-ALCOHOLIC BEVERAGES",7.4
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"ALCOHOLIC BEVERAGES AND TOBACCO",1
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"CLOTHING AND FOOTWEAR",2.8
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"HOUSING AND UTILITIES",22.5
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",4.3
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"HEALTH",3.9
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"TRANSPORT",15.3
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"COMMUNICATION",4.1
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"RECREATION AND CULTURE",7.1
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"EDUCATIONAL SERVICES",5.3
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"FOOD SERVING SERVICES",14.4
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"ACCOMMODATION SERVICES",0.5
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"MISCELLANEOUS GOODS AND SERVICES",11
2013,Highest Qualification Attained of Main Income Earner - Polytechnic,"NON-ASSIGNABLE EXPENDITURE",0.4
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"TOTAL",100
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"FOOD AND NON-ALCOHOLIC BEVERAGES",7.3
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"ALCOHOLIC BEVERAGES AND TOBACCO",0.8
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"CLOTHING AND FOOTWEAR",3.1
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"HOUSING AND UTILITIES",24
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",4.4
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"HEALTH",4.9
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"TRANSPORT",14.3
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"COMMUNICATION",4
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"RECREATION AND CULTURE",7.3
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"EDUCATIONAL SERVICES",5.5
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"FOOD SERVING SERVICES",13.2
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"ACCOMMODATION SERVICES",0.6
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"MISCELLANEOUS GOODS AND SERVICES",10.1
2013,Highest Qualification Attained of Main Income Earner - Professional Qualification & Other Diploma,"NON-ASSIGNABLE EXPENDITURE",0.5
2013,Highest Qualification Attained of Main Income Earner - University,"TOTAL",100
2013,Highest Qualification Attained of Main Income Earner - University,"FOOD AND NON-ALCOHOLIC BEVERAGES",6.6
2013,Highest Qualification Attained of Main Income Earner - University,"ALCOHOLIC BEVERAGES AND TOBACCO",0.5
2013,Highest Qualification Attained of Main Income Earner - University,"CLOTHING AND FOOTWEAR",2.8
2013,Highest Qualification Attained of Main Income Earner - University,"HOUSING AND UTILITIES",24.9
2013,Highest Qualification Attained of Main Income Earner - University,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",5.2
2013,Highest Qualification Attained of Main Income Earner - University,"HEALTH",4.3
2013,Highest Qualification Attained of Main Income Earner - University,"TRANSPORT",14.9
2013,Highest Qualification Attained of Main Income Earner - University,"COMMUNICATION",3.1
2013,Highest Qualification Attained of Main Income Earner - University,"RECREATION AND CULTURE",7.6
2013,Highest Qualification Attained of Main Income Earner - University,"EDUCATIONAL SERVICES",6.1
2013,Highest Qualification Attained of Main Income Earner - University,"FOOD SERVING SERVICES",12.2
2013,Highest Qualification Attained of Main Income Earner - University,"ACCOMMODATION SERVICES",1
2013,Highest Qualification Attained of Main Income Earner - University,"MISCELLANEOUS GOODS AND SERVICES",10.6
2013,Highest Qualification Attained of Main Income Earner - University,"NON-ASSIGNABLE EXPENDITURE",0.3
